Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Total Population,Population Density,Housing Units,Occupied Units,Vacant Units,White Pop,Black Pop,Am Indian Alaskan Native Pop,Asian,Native Hawaiian or PI,Other,Two or More Races,Non Hispanic,Hispanic
6065042627,Census Tract 426.27,"Census Tract 426.27, Riverside County, California",0,6,65,,42627,5637,12614.80947,1321,1307,14,966,513,171,171,18,2765,1033,1075,4562
6065042628,Census Tract 426.28,"Census Tract 426.28, Riverside County, California",0,6,65,,42628,5759,12808.91736,1486,1467,19,1289,471,83,136,38,2831,911,1055,4704
6065042629,Census Tract 426.29,"Census Tract 426.29, Riverside County, California",0,6,65,,42629,5176,11508.64656,1263,1237,26,1017,712,181,252,14,2204,796,1556,3620
6065042630,Census Tract 426.30,"Census Tract 426.30, Riverside County, California",0,6,65,,42630,6727,10374.84415,1609,1582,27,1211,991,137,309,26,2839,1214,2129,4598
6065042631,Census Tract 426.31,"Census Tract 426.31, Riverside County, California",0,6,65,,42631,5190,10266.08164,1258,1246,12,777,380,118,108,9,2662,1136,869,4321
6065042632,Census Tract 426.32,"Census Tract 426.32, Riverside County, California",0,6,65,,42632,3245,4012.795408,713,702,11,532,112,75,66,7,1719,734,387,2858
6065042708,Census Tract 427.08,"Census Tract 427.08, Riverside County, California",0,6,65,,42708,5364,5315.521806,1621,1599,22,2711,249,101,288,34,1006,975,3026,2338
6065042709,Census Tract 427.09,"Census Tract 427.09, Riverside County, California",0,6,65,,42709,5288,2421.689295,2397,2242,155,2967,337,52,217,21,856,838,3361,1927
6065042711,Census Tract 427.11,"Census Tract 427.11, Riverside County, California",0,6,65,,42711,5114,2881.324,3096,2898,198,3513,369,49,174,22,480,507,4019,1095
6065042714,Census Tract 427.14,"Census Tract 427.14, Riverside County, California",0,6,65,,42714,3376,3907.719347,1393,1292,101,2670,89,31,82,5,127,372,2871,505
6065042716,Census Tract 427.16,"Census Tract 427.16, Riverside County, California",0,6,65,,42716,5222,5011.485668,2113,1947,166,4081,57,42,135,6,281,620,4290,932
6065042717,Census Tract 427.17,"Census Tract 427.17, Riverside County, California",0,6,65,,42717,5463,2187.58693,1664,1589,75,2705,143,98,132,20,1517,848,2674,2789
6065042719,Census Tract 427.19,"Census Tract 427.19, Riverside County, California",0,6,65,,42719,5438,516.8171698,1618,1546,72,1869,190,129,76,16,2172,986,1752,3686
6065042720,Census Tract 427.20,"Census Tract 427.20, Riverside County, California",0,6,65,,42720,4936,358.2206618,1519,1420,99,1935,90,69,75,13,1914,840,1771,3165
6065042723,Census Tract 427.23,"Census Tract 427.23, Riverside County, California",0,6,65,,42723,7675,563.2521789,2525,2375,150,3125,359,150,267,21,2541,1212,3247,4428
6065042724,Census Tract 427.24,"Census Tract 427.24, Riverside County, California",0,6,65,,42724,4581,6444.134934,1282,1260,22,2101,401,44,459,32,700,844,2771,1810
6065042726,Census Tract 427.26,"Census Tract 427.26, Riverside County, California",0,6,65,,42726,10185,1576.914683,2935,2858,77,4647,1069,105,717,35,1737,1875,6131,4054
6065042728,Census Tract 427.28,"Census Tract 427.28, Riverside County, California",0,6,65,,42728,2370,684.0085541,772,732,40,1192,132,78,75,12,489,392,1260,1110
6065042730,Census Tract 427.30,"Census Tract 427.30, Riverside County, California",0,6,65,,42730,6028,925.7622281,1630,1553,77,2012,176,96,179,14,2492,1059,1931,4097
6065042731,Census Tract 427.31,"Census Tract 427.31, Riverside County, California",0,6,65,,42731,7691,968.4042829,2215,2151,64,2584,570,116,387,46,2472,1516,3053,4638
6065042732,Census Tract 427.32,"Census Tract 427.32, Riverside County, California",0,6,65,,42732,6259,1998.99363,1900,1823,77,3145,247,62,330,15,1312,1148,3485,2774
6065042733,Census Tract 427.33,"Census Tract 427.33, Riverside County, California",0,6,65,,42733,14643,2326.404168,4229,4084,145,7344,1147,146,1336,86,2036,2548,9427,5216
6065042737,Census Tract 427.37,"Census Tract 427.37, Riverside County, California",0,6,65,,42737,3471,125.5898137,1003,962,41,1620,325,26,311,33,565,591,2152,1319
6065042738,Census Tract 427.38,"Census Tract 427.38, Riverside County, California",0,6,65,,42738,8924,4630.699488,3093,2815,278,4760,595,91,828,60,1040,1550,5959,2965
6065042739,Census Tract 427.39,"Census Tract 427.39, Riverside County, California",0,6,65,,42739,9259,2399.122864,2662,2484,178,4330,781,121,1029,62,1327,1609,5975,3284
6065042740,Census Tract 427.40,"Census Tract 427.40, Riverside County, California",0,6,65,,42740,2384,4873.059126,1455,1384,71,1833,165,20,65,5,117,179,2022,362
6065042741,Census Tract 427.41,"Census Tract 427.41, Riverside County, California",0,6,65,,42741,2479,3555.018492,1609,1521,88,1715,223,28,104,9,172,228,2017,462
6065042742,Census Tract 427.42,"Census Tract 427.42, Riverside County, California",0,6,65,,42742,6035,2984.519752,1936,1804,132,3112,412,94,452,37,957,971,3702,2333
6065042743,Census Tract 427.43,"Census Tract 427.43, Riverside County, California",0,6,65,,42743,4180,1033.169062,1293,1222,71,2152,281,59,300,12,627,749,2644,1536
